,id,tweet,label,text
6999,3052,"The Occupational Safety and Health Administration did not say that ""masks don’t work"" against COVID-19 https://t.co/RmkeXD7Kbt https://t.co/ZIdI8uUZQj",1,"The Occupational Safety and Health Administration did not say that ""masks don’t work"" against COVID-19 https://t.co/RmkeXD7Kbt https://t.co/ZIdI8uUZQj"
8434,210,Children under 18 years represent about 8.5% of reported #COVID19 cases with few deaths compared to other age groups &amp; usually mild disease. 👉 https://t.co/Cs7uxQRRMN https://t.co/l4gqfttYmg,0,Children under 18 years represent about 8.5% of reported #COVID19 cases with few deaths compared to other age groups &amp; usually mild disease. 👉 https://t.co/Cs7uxQRRMN https://t.co/l4gqfttYmg
4908,2007,"Nation more aerodynamic than ever after everyone shaves head during lockdown
https://t.co/HqHM1EaZhb https://t.co/8TQ8KUiS2q",1,"Nation more aerodynamic than ever after everyone shaves head during lockdown
https://t.co/HqHM1EaZhb https://t.co/8TQ8KUiS2q"
4996,271,"Amoxi"" Capsule made in US is the only medicine that can completely cure COVID-19.
Egyptian Health Minister arrive in Italy with secret coronavirus cure.
 Dr Charles Lieber a Harvard professor has been arrested in the USA for manufacturing the coronavirus and selling it to China. A video news report from WCVB a TV station in Boston Massachusetts is shared with the Facebook post.
Mountain Matterhorn in Switzerland was lit in three colours of Indian flag as a token of gratitude to India for sending Hydroxychloroquine.
Al-Azhar Imam said he is considering exceptions on Ramadan fasting as the research says that the mouth must be kept wet to prevent COVID-19
 Japanese Nobel Tasuku Honjo says coronavirus was created in the Wuhan laboratory
A man collapses in 5 minutes after showing COVID-19 symptoms in India.
Celebrities spreading misinformation about coronavirus and the Janata curfew in India.
 Multiple posts shared repeatedly on Facebook and Twitter since March 2020 claim that Israel has reported zero deaths from the novel coronavirus which causes the disease COVID-19. The posts also claim Israeli citizens have protected themselves from COVID-19 by drinking a remedy of hot water lemon and baking soda which purportedly “kills” the virus.
 CDC suddenly lost 30000 deaths from coronavirus from its data thus proving the virus is not as serious as it seems.
Photos of coronavirus patients being treated on the road in Italy.
Indian actor Shah Rukh Khan donated money to Pakistan to fight coronavirus and did not help India at all.
Russian President Vladimir Putin has ordered Russia’s population to stay at home for 15 days or face five years in jail.
Indian Army has set-up a 1000 bed quarantine facility in Rajasthan's Barmer.
Leonardo Da Vinci Hospital a COVID-19 reference hospital in Fortaleza Brazil is empty. A video ""proves"" there was no one at the areas open to the public.
 President Trump's claim that he inherited no ventilators from the Obama administration.
An audio where an unidentified person links the virus that causes COVID-19 with the massive flu vaccination campaign.
Black body bags being referred to as deaths in New York and the reason a lockdown is essential.
Mustard oil prevents a person from getting infected with COVID-19.
North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries they won’t be eligible to receive (protective equipment) from the state.”
 After coronavirus pandemic Chinese president said it's China's time to lead the world.
The nurses that Boris Johnson claimed saved his life are not registered in the UK.
A claim that India’s Ministry of Home Affairs has made it a “punishable offense” for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook Twitter and WhatsApp.
 Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”
A video of a man rebuking foreigners has been viewed thousands of times on social media alongside a claim that the Guinean government has ordered the arrest of all Chinese nationals in the country while awaiting the safe return of Guineans from China.
 The U.S. is the only country on earth that is protesting being locked down.
Photo of Kurnool MLA (Hafeez Khan) making a nurse to touch the feet of a religious head in Viswabharathi Medical College who had to come to the COVID-19 quarantine facility.
New York State Governor shows data that proves that isolation is ineffective against COVID-19.
Homeopathic product Oscillococcinum protects against COVID-19.
CDC admitted to lying about COVID-19 death stats.
Notice for preparing emergency drugs was released on social media for alumni of Seoul National University College of Medicine.
Belgian doctors turn their back on WHO director.
Dr. Li Wenliang (the Chinese whistleblower doctor) has proposed that drinking tea can cure COVID-19.
Any person arrested for violating lockdown in the night will not get bail until the lockdown is over in the state of Gujarat in India.
 US President Donald Trump tested positive for COVID-19.
A picture with a quote from doctor Vincenzo Puro who allegedly said that asymptomatic people cannot infect others that the virus is not lethal and that the pandemic is a ""hoax"".
 Prince Charles recovered from COVID-19 with the help of Ayurvedic treatment.
 A video shows a Superintendent of police announcing the extension of Lokckdown in Maharashtra India till May 30.
 A WhatsApp audio claims that the Infanta Sofía Hospital in Madrid has 15 children in serious condition due to COVID-19 and that there are three other children in the Talavera de la Reina Hospital.
Video shows coronavirus patients and doctors.
A video claims to show that the Nigerian government has spent US$2 million to ""import"" Chinese doctors and supplies.
Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.
A set of claims passed as instructions to be followed during the COVID-19 pandemic period.
 Facebook post claims that the Latvian app Apturi Covid (Stop Covid) which was created to warn people who have been close to an infected person will be used so the government can track all the people from the contact list and record their locations.
Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.
 President Donald Trump tweeted “Coronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US Israel best at inventions: Judaism olives. Wonderful vaccine will stop Corona DEAD around world. Can’t make vaccines when being bombed not have been possible without peace I created in Israel!”
Italy official Giulio Gallera: China lies to us. The date China provided is false. Italy has become Wuhan and the medical system has a breakdown.
João Doria governor of São Paulo forbade doctors to give chloroquine to COVID-19 patients.
A blog post has been shared thousands of times in multiple Facebook posts which claim it shows a video of a baby who died after being infected with the novel coronavirus which causes the disease COVID-19.
 A vaccine for coronavirus was available since 2001.
 Video showing policemen picking banknotes with sticks linking it with coronavirus.
We can't make a vaccine that works for flu no vaccine for the respiratory syncytial virus (RSV) and we can't cure cancer. Yet somehow scientists can make a vaccine for COVID-19 in six months?
Mumbai and Pune is going under military lockdown
What we need to do to defeat the coronavirus is to consume more alkaline foods above the virus’ pH level.
Indian Actor Aamir Khan gives Rs. 15000 to poor people in 1Kg wheat flour.
 The photo shows the funeral of Turkish deceased general Aytac Yalman due to COVID-19.
The coronavirus responsible for COVID-19 is a mix of SARS and HIV.
Two doctors in Bakersfield California said at a press conference that isolation measures affect the immune system and that unrestrictive controls in countries like Sweden have worked.
 Article says that the Vatican confirmed that the Pope and two assistants have coronavirus.
Herbal tea made of malunggay and kamias leaves is a cure for COVID-19 the disease caused by the novel coronavirus.
A video of police officers immobilizing a screaming woman. The caption states that they were being beaten by the police because they refuse to go to their houses during lockdown in Minas Gerais Brazil
 Cuba's low number of COVID-19 deaths is due to its use of hydroxychloroquine to treat patients
A video of the doctor linked to the anti-vaccine movement Chinda Brandolino on the origin of COVID-19.
 There is a confirmed case of coronavirus in a Bogotá hospital.
A video showing migrant laborers from Surat city in India are being sent back to Surat after their home states refused to take them back at the state border.
Ohio Gov. Mike DeWine released 4300 prisoners and is now warning residents of a possible crime wave.
 It's not a virus but 5G that is causing disease and deaths
An arrest by the Federal Bureau of Investigation (FBI) of a professor who had ties to China is connected to the coronavirus pandemic.
A photo of a list of purported symptoms and treatments for the novel coronavirus which causes the disease COVID-19 has been shared hundreds of times in multiple posts on Facebook Twitter and Instagram. The purported remedies include a daily dose of vitamins; exposure to sunlight; and a diet of alkaline foods.
 Police catches coronavirus positive patient on the road.
 In the 30-second viral video a man lifts his shirt and challenges aa police officer who is pointing a gun at him. Another police officer kicks the man from behind pins him down on the road and makes an arrest. The text overlaid on the video reads ""Italy says lockdown they mean it.",1,"Amoxi"" Capsule made in US is the only medicine that can completely cure COVID-19.
Egyptian Health Minister arrive in Italy with secret coronavirus cure.
 Dr Charles Lieber a Harvard professor has been arrested in the USA for manufacturing the coronavirus and selling it to China. A video news report from WCVB a TV station in Boston Massachusetts is shared with the Facebook post.
Mountain Matterhorn in Switzerland was lit in three colours of Indian flag as a token of gratitude to India for sending Hydroxychloroquine.
Al-Azhar Imam said he is considering exceptions on Ramadan fasting as the research says that the mouth must be kept wet to prevent COVID-19
 Japanese Nobel Tasuku Honjo says coronavirus was created in the Wuhan laboratory
A man collapses in 5 minutes after showing COVID-19 symptoms in India.
Celebrities spreading misinformation about coronavirus and the Janata curfew in India.
 Multiple posts shared repeatedly on Facebook and Twitter since March 2020 claim that Israel has reported zero deaths from the novel coronavirus which causes the disease COVID-19. The posts also claim Israeli citizens have protected themselves from COVID-19 by drinking a remedy of hot water lemon and baking soda which purportedly “kills” the virus.
 CDC suddenly lost 30000 deaths from coronavirus from its data thus proving the virus is not as serious as it seems.
Photos of coronavirus patients being treated on the road in Italy.
Indian actor Shah Rukh Khan donated money to Pakistan to fight coronavirus and did not help India at all.
Russian President Vladimir Putin has ordered Russia’s population to stay at home for 15 days or face five years in jail.
Indian Army has set-up a 1000 bed quarantine facility in Rajasthan's Barmer.
Leonardo Da Vinci Hospital a COVID-19 reference hospital in Fortaleza Brazil is empty. A video ""proves"" there was no one at the areas open to the public.
 President Trump's claim that he inherited no ventilators from the Obama administration.
An audio where an unidentified person links the virus that causes COVID-19 with the massive flu vaccination campaign.
Black body bags being referred to as deaths in New York and the reason a lockdown is essential.
Mustard oil prevents a person from getting infected with COVID-19.
North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries they won’t be eligible to receive (protective equipment) from the state.”
 After coronavirus pandemic Chinese president said it's China's time to lead the world.
The nurses that Boris Johnson claimed saved his life are not registered in the UK.
A claim that India’s Ministry of Home Affairs has made it a “punishable offense” for citizens to publish posts on social media about the novel coronavirus has been shared repeatedly on Facebook Twitter and WhatsApp.
 Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”
A video of a man rebuking foreigners has been viewed thousands of times on social media alongside a claim that the Guinean government has ordered the arrest of all Chinese nationals in the country while awaiting the safe return of Guineans from China.
 The U.S. is the only country on earth that is protesting being locked down.
Photo of Kurnool MLA (Hafeez Khan) making a nurse to touch the feet of a religious head in Viswabharathi Medical College who had to come to the COVID-19 quarantine facility.
New York State Governor shows data that proves that isolation is ineffective against COVID-19.
Homeopathic product Oscillococcinum protects against COVID-19.
CDC admitted to lying about COVID-19 death stats.
Notice for preparing emergency drugs was released on social media for alumni of Seoul National University College of Medicine.
Belgian doctors turn their back on WHO director.
Dr. Li Wenliang (the Chinese whistleblower doctor) has proposed that drinking tea can cure COVID-19.
Any person arrested for violating lockdown in the night will not get bail until the lockdown is over in the state of Gujarat in India.
 US President Donald Trump tested positive for COVID-19.
A picture with a quote from doctor Vincenzo Puro who allegedly said that asymptomatic people cannot infect others that the virus is not lethal and that the pandemic is a ""hoax"".
 Prince Charles recovered from COVID-19 with the help of Ayurvedic treatment.
 A video shows a Superintendent of police announcing the extension of Lokckdown in Maharashtra India till May 30.
 A WhatsApp audio claims that the Infanta Sofía Hospital in Madrid has 15 children in serious condition due to COVID-19 and that there are three other children in the Talavera de la Reina Hospital.
Video shows coronavirus patients and doctors.
A video claims to show that the Nigerian government has spent US$2 million to ""import"" Chinese doctors and supplies.
Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.
A set of claims passed as instructions to be followed during the COVID-19 pandemic period.
 Facebook post claims that the Latvian app Apturi Covid (Stop Covid) which was created to warn people who have been close to an infected person will be used so the government can track all the people from the contact list and record their locations.
Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.
 President Donald Trump tweeted “Coronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US Israel best at inventions: Judaism olives. Wonderful vaccine will stop Corona DEAD around world. Can’t make vaccines when being bombed not have been possible without peace I created in Israel!”
Italy official Giulio Gallera: China lies to us. The date China provided is false. Italy has become Wuhan and the medical system has a breakdown.
João Doria governor of São Paulo forbade doctors to give chloroquine to COVID-19 patients.
A blog post has been shared thousands of times in multiple Facebook posts which claim it shows a video of a baby who died after being infected with the novel coronavirus which causes the disease COVID-19.
 A vaccine for coronavirus was available since 2001.
 Video showing policemen picking banknotes with sticks linking it with coronavirus.
We can't make a vaccine that works for flu no vaccine for the respiratory syncytial virus (RSV) and we can't cure cancer. Yet somehow scientists can make a vaccine for COVID-19 in six months?
Mumbai and Pune is going under military lockdown
What we need to do to defeat the coronavirus is to consume more alkaline foods above the virus’ pH level.
Indian Actor Aamir Khan gives Rs. 15000 to poor people in 1Kg wheat flour.
 The photo shows the funeral of Turkish deceased general Aytac Yalman due to COVID-19.
The coronavirus responsible for COVID-19 is a mix of SARS and HIV.
Two doctors in Bakersfield California said at a press conference that isolation measures affect the immune system and that unrestrictive controls in countries like Sweden have worked.
 Article says that the Vatican confirmed that the Pope and two assistants have coronavirus.
Herbal tea made of malunggay and kamias leaves is a cure for COVID-19 the disease caused by the novel coronavirus.
A video of police officers immobilizing a screaming woman. The caption states that they were being beaten by the police because they refuse to go to their houses during lockdown in Minas Gerais Brazil
 Cuba's low number of COVID-19 deaths is due to its use of hydroxychloroquine to treat patients
A video of the doctor linked to the anti-vaccine movement Chinda Brandolino on the origin of COVID-19.
 There is a confirmed case of coronavirus in a Bogotá hospital.
A video showing migrant laborers from Surat city in India are being sent back to Surat after their home states refused to take them back at the state border.
Ohio Gov. Mike DeWine released 4300 prisoners and is now warning residents of a possible crime wave.
 It's not a virus but 5G that is causing disease and deaths
An arrest by the Federal Bureau of Investigation (FBI) of a professor who had ties to China is connected to the coronavirus pandemic.
A photo of a list of purported symptoms and treatments for the novel coronavirus which causes the disease COVID-19 has been shared hundreds of times in multiple posts on Facebook Twitter and Instagram. The purported remedies include a daily dose of vitamins; exposure to sunlight; and a diet of alkaline foods.
 Police catches coronavirus positive patient on the road.
 In the 30-second viral video a man lifts his shirt and challenges aa police officer who is pointing a gun at him. Another police officer kicks the man from behind pins him down on the road and makes an arrest. The text overlaid on the video reads ""Italy says lockdown they mean it."
1320,1452,"Alien Takeover: Trump, Politicians, and the Coronavirus https://t.co/ugbqocxBVO #donaldtrump #aliens #coronavirus #ufo #politicians",1,"Alien Takeover: Trump, Politicians, and the Coronavirus https://t.co/ugbqocxBVO #donaldtrump #aliens #coronavirus #ufo #politicians"
4763,1537,#CoronaVirusUpdates: 📍Total #COVID19 Cases in India (as on September 08 2020) ▶️77.65% Cured/Discharged/Migrated (3323950) ▶️20.65% Active cases (883697) ▶️1.70% Deaths (72775) Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths https://t.co/DLFvdf59Pi,0,#CoronaVirusUpdates: 📍Total #COVID19 Cases in India (as on September 08 2020) ▶️77.65% Cured/Discharged/Migrated (3323950) ▶️20.65% Active cases (883697) ▶️1.70% Deaths (72775) Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths https://t.co/DLFvdf59Pi
3346,2070,With today’s new case and four additional recovered cases our total number of active cases is 79. Of those 27 are imported cases in MIQ facilities and 52 are community cases.,0,With today’s new case and four additional recovered cases our total number of active cases is 79. Of those 27 are imported cases in MIQ facilities and 52 are community cases.
48,1175,“In the absence of a vaccine to prevent #COVID19 we have to focus on non-pharmaceutical interventions such as using face masks physical distancing and frequent hand washing” ~ @beeodune on @HitFMCalabar Join the ongoing conversation live👇🏽 https://t.co/gDgQRYTIAS https://t.co/h05Pzr2ZDx,0,“In the absence of a vaccine to prevent #COVID19 we have to focus on non-pharmaceutical interventions such as using face masks physical distancing and frequent hand washing” ~ @beeodune on @HitFMCalabar Join the ongoing conversation live👇🏽 https://t.co/gDgQRYTIAS https://t.co/h05Pzr2ZDx
5090,2382,"BREAKING! After Donald Trump says you need to ""read the books"" about Coronavirus testing to properly understand the numbers, the White House reveals which book in particular https://t.co/NuO7Hv4FMF",1,"BREAKING! After Donald Trump says you need to ""read the books"" about Coronavirus testing to properly understand the numbers, the White House reveals which book in particular https://t.co/NuO7Hv4FMF"
3742,5013,48 coronavirus patients found in quarantine center in Sultanpuri in Delhi India and all those belong to Jamaat.,1,48 coronavirus patients found in quarantine center in Sultanpuri in Delhi India and all those belong to Jamaat.
